ShortName                                    Version    HasUpdate
ace-editor                                   1.1        false
ansible                                      1.0        false
ant                                          1.11       false
apache-httpcomponents-client-4-api           4.5.10-2.0 false
artifactory                                  3.6.2      false
authentication-tokens                        1.3        false
aws-credentials                              1.28       false
aws-java-sdk                                 1.11.723   false
blueocean-autofavorite                       1.2.4      false
blueocean-bitbucket-pipeline                 1.23.2     false
blueocean-commons                            1.23.2     false
blueocean-config                             1.23.2     false
blueocean-core-js                            1.23.2     false
blueocean-dashboard                          1.23.2     false
blueocean-display-url                        2.3.1      false
blueocean-events                             1.23.2     false
blueocean-git-pipeline                       1.23.2     false
blueocean-github-pipeline                    1.23.2     false
blueocean-i18n                               1.23.2     false
blueocean-jira                               1.23.2     false
blueocean-jwt                                1.23.2     false
blueocean-personalization                    1.23.2     false
blueocean-pipeline-api-impl                  1.23.2     false
blueocean-pipeline-editor                    1.23.2     false
blueocean-pipeline-scm-api                   1.23.2     false
blueocean-rest-impl                          1.23.2     false
blueocean-rest                               1.23.2     false
blueocean-web                                1.23.2     false
blueocean                                    1.23.2     false
bouncycastle-api                             2.18       false
branch-api                                   2.5.6      false
build-name-setter                            2.1.0      false
build-timestamp                              1.0.3      false
cloudbees-bitbucket-branch-source            2.8.0      false
cloudbees-folder                             6.12       false
command-launcher                             1.2        true
config-file-provider                         3.6.3      false
convert-to-pipeline                          1.0        false
credentials-binding                          1.23       false
credentials                                  2.3.7      false
custom-build-properties                      1.9.1      false
declarative-pipeline-migration-assistant-api 1.04       false
declarative-pipeline-migration-assistant     1.04       false
display-url-api                              2.3.2      false
docker-commons                               1.16       false
docker-java-api                              3.1.5.2    false
docker-plugin                                1.2.0      false
docker-workflow                              1.23       false
durable-task                                 1.34       false
external-monitor-job                         1.7        false
favorite                                     2.3.2      false
git-client                                   3.2.1      false
git-server                                   1.9        false
git                                          4.2.2      false
github-api                                   1.111      false
github-branch-source                         2.7.1      false
github                                       1.30.0     false
gitlab-plugin                                1.5.13     false
gradle                                       1.36       false
handlebars                                   1.1.1      false
handy-uri-templates-2-api                    2.1.8-1.0  false
htmlpublisher                                1.23       false
ivy                                          2.1        false
jackson2-api                                 2.11.0     false
javadoc                                      1.5        false
jdk-tool                                     1.4        false
jenkins-design-language                      1.23.2     false
jira-steps                                   1.6.0      false
jira                                         3.0.15     false
jquery-detached                              1.2.1      false
jsch                                         0.1.55.2   false
junit                                        1.29       false
kubernetes-pipeline-devops-steps             1.6        false
ldap                                         1.24       false
lockable-resources                           2.8        false
mailer                                       1.32       false
mapdb-api                                    1.0.9.0    false
matrix-auth                                  2.6.1      false
matrix-project                               1.14       false
maven-plugin                                 3.6        false
mercurial                                    2.10       false
metrics                                      4.0.2.6    false
momentjs                                     1.1.1      false
multibranch-action-triggers                  1.8.5      false
multibranch-build-strategy-extension         1.0.10     false
pam-auth                                     1.6        false
pipeline-as-yaml                             0.3.0-rc   false
pipeline-aws                                 1.41       false
pipeline-build-step                          2.12       false
pipeline-cps-http                            0.2.1      false
pipeline-dependency-walker                   1.0.0      false
pipeline-github-lib                          1.0        false
pipeline-githubnotify-step                   1.0.5      false
pipeline-graph-analysis                      1.10       false
pipeline-input-step                          2.11       false
pipeline-milestone-step                      1.3.1      false
pipeline-model-api                           1.6.0      false
pipeline-model-declarative-agent             1.1.1      false
pipeline-model-definition                    1.6.0      false
pipeline-model-extensions                    1.6.0      false
pipeline-npm                                 0.9.2      false
pipeline-rest-api                            2.13       false
pipeline-restful-api                         0.6        false
pipeline-stage-step                          2.3        false
pipeline-stage-tags-metadata                 1.6.0      false
pipeline-stage-view                          2.13       false
pipeline-timeline                            1.0.3      false
pipeline-utility-steps                       2.5.0      false
plain-credentials                            1.7        false
pubsub-light                                 1.13       false
run-condition                                1.3        false
scm-api                                      2.6.3      false
script-security                              1.72       false
simple-build-for-pipeline                    0.2        false
snakeyaml-api                                1.26.4     false
sse-gateway                                  1.23       false
ssh-credentials                              1.18.1     false
ssh-slaves                                   1.31.2     false
ssh-steps                                    2.0.0      false
structs                                      1.20       false
subversion                                   2.13.1     false
timestamper                                  1.11.3     false
token-macro                                  2.12       false
translation                                  1.16       false
trilead-api                                  1.0.6      false
variant                                      1.3        false
windows-slaves                               1.6        false
workflow-aggregator                          2.6        false
workflow-api                                 2.40       false
workflow-basic-steps                         2.20       false
workflow-cps-global-lib-http                 1.5.0      false
workflow-cps-global-lib                      2.16       false
workflow-cps                                 2.80       false
workflow-durable-task-step                   2.35       false
workflow-job                                 2.39       false
workflow-multibranch                         2.21       false
workflow-scm-step                            2.11       false
workflow-step-api                            2.22       false
workflow-support                             3.4        false
